Grade,Course Name,Period,Teacher,Location,Term
9,WIN MATH,9,E. Boyer,126,SEM1
9,WIN MATH,9,E. Boyer,126,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,American Popular Culture,10,M. Shipley,125,SEM1
10,OUR WORLD,10,M. Shipley,125,SEM2
10,EARLY AMERICAN WARS,2,M. Shipley,125,SEM1
10,MODERN AMERICAN WARS,2,M. Shipley,125,SEM2
10,GEOMETRY,3,I. Haver,127,ALYR
10,BIOLOGY,4,J. Miller,131,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,ALYR
10,ENGLISH 10,6,J. Augspurger,120,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,MODERN US HISTORY,8,M. Shipley,125,ALYR
10,STEM 1,9,B. Welch,129,SEM1
10,STEM II,9,B. Welch,129,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,GEOMETRY,10,I. Haver,127,ALYR
10,ENGLISH 10,2,J. Augspurger,120,ALYR
10,INTEGRATED BIOLOGY,3,J. Miller,131,ALYR
10,MODERN US HISTORY,4,M. Shipley,125,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,ALYR
10,LUNCH,6,Z. McFarren,CAFE,ALYR
10,ART I,7,L. Delciappo,ART,SEM1
10,STUDY HALL,7,J. Reynolds,LIB,SEM2
10,SPORTS OFFICIATING & GAME DAY,8,S. Huth,134,SEM1
10,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
10,STUDY HALL,9,J. Reynolds,LIB,SEM1
10,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM2
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,American Popular Culture,10,M. Shipley,125,SEM1
11,OUR WORLD,10,M. Shipley,125,SEM2
11,ENGLISH 11,2,S. Emert,122,ALYR
11,ENVIRONMENTAL SCIENCE,3,R. Yobi,133,ALYR
11,TRIGONOMETRY,4,J. Warner,121,SEM1
11,STATISTICS,4,J. Warner,121,SEM2
11,STUDY HALL,5,J. Reynolds,LIB,ALYR
11,LUNCH,6,Z. McFarren,CAFE,ALYR
11,AMERICAN GOVERNMENT,7,R. Sparks,124,ALYR
11,CHEMISTRY,8,R. Yobi,133,ALYR
11,CHORALE,9,H. Carr,AUD,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,FINANCIAL LITERACY,10,D. Fennell,132,SEM1
9,HEALTH,10,S. Huth,134,SEM2
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,WORLD STUDIES,3,R. Sparks,124,ALYR
9,SPANISH I,4,F. Vaughan,134,ALYR
9,ALGEBRA I,5,I. Haver,127,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,ART I,7,L. Delciappo,ART,SEM1
9,ART II,7,L. Delciappo,ART,SEM2
9,STUDY HALL,8,J. Reynolds,LIB,ALYR
9,ENGLISH 9,9,S. Emert,122,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,BAND,10,R. Kaserman,MUS,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,ENGLISH 9,3,S. Emert,122,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,ALGEBRA I,5,I. Haver,127,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,STUDY HALL,7,J. Reynolds,LIB,ALYR
9,CHOIR,8,H. Carr,AUD,ALYR
9,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM1
9,HEALTH,9,A. Greer,134,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,EL ENGLISH,10,F. Vaughan,134,ALYR
10,STUDY HALL,2,M. Doty,136,ALYR
10,INTEGRATED BIOLOGY,3,J. Miller,131,ALYR
10,EL MODERN US HISTORY,4,M. Shipley,125,ALYR
10,SPANISH II,5,L. Shaffer,123,ALYR
10,STUDY HALL,6,M. Doty,LIB,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,ALGEBRA I,8,I. Haver,127,ALYR
10,HEALTH,9,S. Huth,134,SEM1
10,PHYSICAL EDUCATION,9,S. Huth,GYM,SEM2
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,STUDY HALL,10,J. Reynolds,LIB,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,ALGEBRA II,3,D. Fennell,132,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,DRAMA I,5,L. Delciappo,ART,SEM1
9,DRAMA II,5,L. Delciappo,ART,SEM2
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,GEOMETRY,7,I. Haver,127,ALYR
9,ART I,8,L. Delciappo,ART,SEM1
9,ART II,8,L. Delciappo,ART,SEM2
9,ENGLISH 9,9,S. Emert,122,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,WORLD STUDIES,10,R. Sparks,124,ALYR
9,SPANISH I,2,F. Vaughan,134,ALYR
9,ENGLISH 9,3,S. Emert,122,ALYR
9,STUDY HALL,4,J. Reynolds,LIB,SEM1
9,FINANCIAL LITERACY,4,D. Fennell,132,SEM2
9,ALGEBRA I,5,I. Haver,127,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,PHYSICAL SCIENCE,7,R. Yobi,133,ALYR
9,CHOIR,8,H. Carr,AUD,ALYR
9,STEM 1,9,B. Welch,129,SEM1
9,STUDY HALL,9,J. Reynolds,LIB,SEM2
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,ENGLISH 11,10,S. Emert,122,ALYR
11,STUDY HALL,2,J. Reynolds,LIB,ALYR
11,ENVIRONMENTAL SCIENCE,3,R. Yobi,133,ALYR
11,TRIGONOMETRY,4,J. Warner,121,SEM1
11,STATISTICS,4,J. Warner,121,SEM2
11,PSYCHOLOGY CC+,5,C. TEACHER,LIB,SEM1
11,INTRO TO SOCIOLOGY CC+,5,C. TEACHER,LIB,SEM2
11,H & H INDEP TO RECONSTRUCT,6,M. Shipley,125,SEM1
11,H & H INDUSTRIAL TO TODAY,6,M. Shipley,125,SEM2
11,LUNCH,7,Z. McFarren,CAFE,ALYR
11,STEM: Des & Prod,8,B. Welch,129,SEM1
